# m	Runtime(us)	stddev(us)
1	3081.7	344.1719192496678
2	3080.6	259.85979873770395
3	3103.7875	331.1110725175919
4	3081.775	104.00949175435865
5	3118.975	812.4152259620691
6	3149.1625	1598.3097278355508
7	3049.2875	206.94360305104863
8	3014.9875	321.73993743977445
9	3105.8	204.0590845809125
10	3115.7	331.3672584912396
20	3421.8125	80.96173382376392
30	3191.7375	482.58291369851656
40	3340.3375	1793.6372469353303
50	3260.9875	1574.9931070781704
60	3667.075	2271.1902704033837
70	13048.1	6075.615819816129
80	12312.5625	4736.023476619785
90	12295.925	5412.491521413683
100	12124.8625	5448.244468963719
200	14265.1875	5208.95202774452
300	16210.3375	6132.147313428941
400	23707.525	8796.638164627155
500	32693.2625	12119.21967449199
600	34310.5	9397.433474092808
700	42978.8875	12880.209899292937
800	50447.75	13464.293191159348
900	60556.35	14508.675609010632
1000	69442.5	14855.8991750752
2000	193137.8875	15954.037188901237
3000	422235.9375	35690.38479981119
4000	693654.0875	55267.20176180303
5000	1055573.675	46673.83095958995
6000	1506679.5	79311.66560963777
7000	2088348.875	125229.2705269394
8000	2674763.5625	99519.89021055587
9000	3423703.375	212374.29977444158
